startingAirport,destinationAirport,flightDate,totalFare,segmentsDepartureTimeRaw,segmentsArrivalTimeRaw
ATL,IAD,2022-05-26,148.1,2022-05-26,2022-05-26
ATL,IAD,2022-05-27,183.1,2022-05-27,2022-05-27
ATL,IAD,2022-05-28,183.6,2022-05-28,2022-05-28
ATL,IAD,2022-05-29,191.6,2022-05-29,2022-05-29
ATL,IAD,2022-05-30,226.6,2022-05-30,2022-05-30
ATL,IAD,2022-05-31,191.6,2022-05-31,2022-05-31
ATL,IAD,2022-06-01,140.6,2022-06-01,2022-06-01
ATL,IAD,2022-06-02,140.6,2022-06-02,2022-06-02
ATL,IAD,2022-06-03,140.6,2022-06-03,2022-06-03
ATL,JFK,2022-04-17,198.6,2022-04-17,2022-04-17
ATL,JFK,2022-04-18,198.6,2022-04-18,2022-04-18
ATL,JFK,2022-04-19,153.6,2022-04-19,2022-04-19
ATL,JFK,2022-04-20,161.1,2022-04-20,2022-04-20
ATL,JFK,2022-04-21,278.6,2022-04-21,2022-04-21
ATL,JFK,2022-04-22,240.1,2022-04-22,2022-04-22
ATL,JFK,2022-04-23,376.1,2022-04-23,2022-04-23
ATL,JFK,2022-04-24,376.1,2022-04-24,2022-04-24
ATL,JFK,2022-04-25,306.1,2022-04-25,2022-04-25
ATL,JFK,2022-04-26,121.1,2022-04-26,2022-04-26
ATL,JFK,2022-04-27,148.6,2022-04-27,2022-04-27
ATL,JFK,2022-04-28,126.1,2022-04-28,2022-04-28
ATL,JFK,2022-04-29,126.1,2022-04-29,2022-04-29
ATL,JFK,2022-04-30,126.1,2022-04-30,2022-04-30
ATL,JFK,2022-05-01,148.6,2022-05-01,2022-05-01
ATL,JFK,2022-05-02,103.6,2022-05-02,2022-05-02
ATL,JFK,2022-05-03,102.2,2022-05-03,2022-05-03
ATL,JFK,2022-05-04,102.2,2022-05-04,2022-05-04
ATL,JFK,2022-05-05,103.6,2022-05-05,2022-05-05
ATL,JFK,2022-05-06,103.6,2022-05-06,2022-05-06
ATL,JFK,2022-05-07,103.6,2022-05-07,2022-05-07
ATL,JFK,2022-05-08,188.6,2022-05-08,2022-05-08
ATL,JFK,2022-05-09,118.6,2022-05-09,2022-05-09
ATL,JFK,2022-05-10,78.6,2022-05-10,2022-05-10
ATL,JFK,2022-05-11,78.6,2022-05-11,2022-05-11
ATL,JFK,2022-05-12,78.6,2022-05-12,2022-05-12
ATL,JFK,2022-05-13,78.6,2022-05-13,2022-05-13
ATL,JFK,2022-05-14,78.6,2022-05-14,2022-05-14
ATL,JFK,2022-05-15,188.6,2022-05-15,2022-05-15
ATL,JFK,2022-05-16,144.2,2022-05-16,2022-05-16
ATL,JFK,2022-05-17,78.6,2022-05-17,2022-05-17
ATL,JFK,2022-05-18,78.6,2022-05-18,2022-05-18
ATL,JFK,2022-05-19,78.6,2022-05-19,2022-05-19
ATL,JFK,2022-05-20,78.6,2022-05-20,2022-05-20
ATL,JFK,2022-05-21,78.6,2022-05-21,2022-05-21
ATL,JFK,2022-05-22,173.6,2022-05-22,2022-05-22
ATL,JFK,2022-05-23,102.2,2022-05-23,2022-05-23
ATL,JFK,2022-05-24,78.6,2022-05-24,2022-05-24
ATL,JFK,2022-05-25,103.6,2022-05-25,2022-05-25
ATL,JFK,2022-05-26,148.6,2022-05-26,2022-05-26
ATL,JFK,2022-05-27,198.6,2022-05-27,2022-05-27
ATL,JFK,2022-05-28,167.2,2022-05-28,2022-05-28
ATL,JFK,2022-05-29,198.6,2022-05-29,2022-05-29
ATL,JFK,2022-05-30,259.6,2022-05-30,2022-05-30
ATL,JFK,2022-05-31,152.2,2022-05-31,2022-05-31
ATL,JFK,2022-06-01,127.2,2022-06-01,2022-06-01
ATL,JFK,2022-06-02,103.6,2022-06-02,2022-06-02
ATL,JFK,2022-06-03,103.6,2022-06-03,2022-06-03
ATL,LAX,2022-04-17,239.6,2022-04-17,2022-04-17
ATL,LAX,2022-04-18,333.58,2022-04-18,2022-04-18
ATL,LAX,2022-04-19,244.1,2022-04-19,2022-04-19
ATL,LAX,2022-04-20,299.2,2022-04-20,2022-04-20
ATL,LAX,2022-04-21,199.59,2022-04-21,2022-04-21
ATL,LAX,2022-04-22,299.58,2022-04-22,2022-04-22
ATL,LAX,2022-04-23,193.78,2022-04-23,2022-04-23
ATL,LAX,2022-04-24,159.59,2022-04-24,2022-04-24
ATL,LAX,2022-04-25,193.78,2022-04-25,2022-04-25
ATL,LAX,2022-04-26,181.58,2022-04-26,2022-04-26
ATL,LAX,2022-04-27,193.78,2022-04-27,2022-04-27
ATL,LAX,2022-04-28,209.96,2022-04-28,2022-04-28
ATL,LAX,2022-04-29,139.59,2022-04-29,2022-04-29
ATL,LAX,2022-04-30,129.99,2022-04-30,2022-04-30
ATL,LAX,2022-05-01,179.59,2022-05-01,2022-05-01
ATL,LAX,2022-05-02,143.99,2022-05-02,2022-05-02
ATL,LAX,2022-05-03,126.78,2022-05-03,2022-05-03
ATL,LAX,2022-05-04,81.59,2022-05-04,2022-05-04
ATL,LAX,2022-05-05,81.59,2022-05-05,2022-05-05
ATL,LAX,2022-05-06,113.59,2022-05-06,2022-05-06
ATL,LAX,2022-05-07,141.58,2022-05-07,2022-05-07
ATL,LAX,2022-05-08,146.78,2022-05-08,2022-05-08
ATL,LAX,2022-05-09,133.75,2022-05-09,2022-05-09
ATL,LAX,2022-05-10,97.16,2022-05-10,2022-05-10
ATL,LAX,2022-05-11,97.16,2022-05-11,2022-05-11
ATL,LAX,2022-05-12,189.58,2022-05-12,2022-05-12
ATL,LAX,2022-05-13,146.78,2022-05-13,2022-05-13
ATL,LAX,2022-05-14,146.78,2022-05-14,2022-05-14
ATL,LAX,2022-05-15,198.59,2022-05-15,2022-05-15
ATL,LAX,2022-05-16,135.68,2022-05-16,2022-05-16
ATL,LAX,2022-05-17,126.78,2022-05-17,2022-05-17
ATL,LAX,2022-05-18,126.78,2022-05-18,2022-05-18
